Abu Dhabi,Chennai Super Kings,1
Abu Dhabi,Kings XI Punjab,2
Abu Dhabi,Kolkata Knight Riders,1
Abu Dhabi,Rajasthan Royals,3
Ahmedabad,Delhi Daredevils,1
Ahmedabad,Kings XI Punjab,1
Ahmedabad,Mumbai Indians,1
Ahmedabad,Rajasthan Royals,7
Ahmedabad,Royal Challengers Bangalore,1
Ahmedabad,Sunrisers Hyderabad,1
Bangalore,Chennai Super Kings,4
Bangalore,Deccan Chargers,1
Bangalore,Delhi Daredevils,3
Bangalore,Gujarat Lions,1
Bangalore,Kings XI Punjab,5
Bangalore,Kolkata Knight Riders,6
Bangalore,Mumbai Indians,8
Bangalore,Rajasthan Royals,3
Bangalore,Rising Pune Supergiant,1
Bangalore,Royal Challengers Bangalore,30
Bangalore,Sunrisers Hyderabad,2
Bloemfontein,Delhi Daredevils,1
Bloemfontein,Kings XI Punjab,1
Cape Town,Deccan Chargers,2
Cape Town,Delhi Daredevils,1
Cape Town,Kings XI Punjab,1
Cape Town,Mumbai Indians,1
Cape Town,Rajasthan Royals,1
Cape Town,Royal Challengers Bangalore,1
Centurion,Chennai Super Kings,2
Centurion,Deccan Chargers,2
Centurion,Delhi Daredevils,2
Centurion,Kolkata Knight Riders,1
Centurion,Mumbai Indians,1
Centurion,Rajasthan Royals,2
Centurion,Royal Challengers Bangalore,2
Chandigarh,Chennai Super Kings,3
Chandigarh,Delhi Daredevils,1
Chandigarh,Gujarat Lions,2
Chandigarh,Kings XI Punjab,22
Chandigarh,Kolkata Knight Riders,3
Chandigarh,Mumbai Indians,4
Chandigarh,Pune Warriors,1
Chandigarh,Rajasthan Royals,3
Chandigarh,Royal Challengers Bangalore,3
Chandigarh,Sunrisers Hyderabad,4
Chennai,Chennai Super Kings,33
Chennai,Deccan Chargers,2
Chennai,Delhi Daredevils,2
Chennai,Kings XI Punjab,2
Chennai,Kolkata Knight Riders,2
Chennai,Mumbai Indians,3
Chennai,Pune Warriors,1
Chennai,Rajasthan Royals,1
Chennai,Royal Challengers Bangalore,2
Cuttack,Deccan Chargers,3
Cuttack,Kings XI Punjab,1
Cuttack,Kolkata Knight Riders,3
Delhi,Chennai Super Kings,5
Delhi,Deccan Chargers,2
Delhi,Delhi Daredevils,23
Delhi,Gujarat Lions,1
Delhi,Kings XI Punjab,4
Delhi,Kochi Tuskers Kerala,1
Delhi,Kolkata Knight Riders,5
Delhi,Mumbai Indians,3
Delhi,Pune Warriors,1
Delhi,Rajasthan Royals,4
Delhi,Rising Pune Supergiants,1
Delhi,Royal Challengers Bangalore,5
Delhi,Sunrisers Hyderabad,4
Dharamsala,Chennai Super Kings,1
Dharamsala,Deccan Chargers,2
Dharamsala,Delhi Daredevils,1
Dharamsala,Kings XI Punjab,5
Durban,Chennai Super Kings,1
Durban,Deccan Chargers,2
Durban,Delhi Daredevils,3
Durban,Kings XI Punjab,2
Durban,Kolkata Knight Riders,2
Durban,Rajasthan Royals,2
Durban,Royal Challengers Bangalore,3
East London,Chennai Super Kings,1
East London,Delhi Daredevils,1
East London,Mumbai Indians,1
Hyderabad,Chennai Super Kings,2
Hyderabad,Deccan Chargers,3
Hyderabad,Delhi Daredevils,4
Hyderabad,Kings XI Punjab,4
Hyderabad,Kolkata Knight Riders,4
Hyderabad,Mumbai Indians,5
Hyderabad,Pune Warriors,1
Hyderabad,Rajasthan Royals,2
Hyderabad,Rising Pune Supergiant,1
Hyderabad,Rising Pune Supergiants,1
Hyderabad,Royal Challengers Bangalore,2
Hyderabad,Sunrisers Hyderabad,20
Indore,Kings XI Punjab,3
Indore,Kochi Tuskers Kerala,1
Indore,Mumbai Indians,1
Jaipur,Chennai Super Kings,2
Jaipur,Delhi Daredevils,1
Jaipur,Kolkata Knight Riders,1
Jaipur,Mumbai Indians,2
Jaipur,Rajasthan Royals,24
Jaipur,Royal Challengers Bangalore,3
Johannesburg,Chennai Super Kings,1
Johannesburg,Deccan Chargers,2
Johannesburg,Delhi Daredevils,1
Johannesburg,Kings XI Punjab,1
Johannesburg,Royal Challengers Bangalore,3
Kanpur,Delhi Daredevils,1
Kanpur,Gujarat Lions,2
Kanpur,Sunrisers Hyderabad,1
Kimberley,Chennai Super Kings,1
Kimberley,Deccan Chargers,1
Kimberley,Kings XI Punjab,1
Kochi,Deccan Chargers,1
Kochi,Delhi Daredevils,1
Kochi,Kochi Tuskers Kerala,2
Kochi,Royal Challengers Bangalore,1
Kolkata,Chennai Super Kings,4
Kolkata,Delhi Daredevils,1
Kolkata,Gujarat Lions,2
Kolkata,Kings XI Punjab,2
Kolkata,Kochi Tuskers Kerala,1
Kolkata,Kolkata Knight Riders,37
Kolkata,Mumbai Indians,9
Kolkata,Rajasthan Royals,1
Kolkata,Rising Pune Supergiant,1
Kolkata,Royal Challengers Bangalore,3
Mumbai,Chennai Super Kings,8
Mumbai,Deccan Chargers,3
Mumbai,Delhi Daredevils,2
Mumbai,Gujarat Lions,1
Mumbai,Kings XI Punjab,5
Mumbai,Kochi Tuskers Kerala,1
Mumbai,Kolkata Knight Riders,3
Mumbai,Mumbai Indians,45
Mumbai,Pune Warriors,3
Mumbai,Rajasthan Royals,5
Mumbai,Rising Pune Supergiant,2
Mumbai,Rising Pune Supergiants,1
Mumbai,Royal Challengers Bangalore,5
Mumbai,Sunrisers Hyderabad,1
Nagpur,Deccan Chargers,2
Nagpur,Rajasthan Royals,1
Port Elizabeth,Chennai Super Kings,2
Port Elizabeth,Delhi Daredevils,1
Port Elizabeth,Kings XI Punjab,1
Port Elizabeth,Mumbai Indians,2
Port Elizabeth,Rajasthan Royals,1
Pune,Chennai Super Kings,1
Pune,Deccan Chargers,1
Pune,Delhi Daredevils,3
Pune,Gujarat Lions,1
Pune,Kings XI Punjab,1
Pune,Kolkata Knight Riders,6
Pune,Mumbai Indians,3
Pune,Pune Warriors,4
Pune,Rajasthan Royals,2
Pune,Rising Pune Supergiant,5
Pune,Royal Challengers Bangalore,4
Pune,Sunrisers Hyderabad,1
Raipur,Delhi Daredevils,4
Raipur,Royal Challengers Bangalore,1
Raipur,Sunrisers Hyderabad,1
Rajkot,Delhi Daredevils,1
Rajkot,Gujarat Lions,3
Rajkot,Kings XI Punjab,2
Rajkot,Kolkata Knight Riders,1
Rajkot,Mumbai Indians,1
Rajkot,Royal Challengers Bangalore,1
Rajkot,Sunrisers Hyderabad,1
Ranchi,Chennai Super Kings,3
Ranchi,Kolkata Knight Riders,1
Ranchi,Pune Warriors,1
Ranchi,Royal Challengers Bangalore,1
Ranchi,Sunrisers Hyderabad,1
Sharjah,Chennai Super Kings,1
Sharjah,Delhi Daredevils,1
Sharjah,Kings XI Punjab,2
Sharjah,Kolkata Knight Riders,1
Sharjah,Royal Challengers Bangalore,1
Visakhapatnam,Chennai Super Kings,1
Visakhapatnam,Delhi Daredevils,1
Visakhapatnam,Kings XI Punjab,1
Visakhapatnam,Mumbai Indians,2
Visakhapatnam,Rajasthan Royals,1
Visakhapatnam,Rising Pune Supergiants,2
Visakhapatnam,Sunrisers Hyderabad,3
