Player,Avg.runs
LMP Simmons,37.20689655
CH Gayle,36.51
SE Marsh,36.07246377
HM Amla,36.0625
DA Warner,35.21052632
ML Hayden,34.59375
MEK Hussey,34.0862069
MN van Wyk,33.4
CA Lynn,32
V Kohli,31.36879433
SR Tendulkar,29.92307692
AB de Villiers,29.54237288
N Rana,29.13333333
AM Rahane,29.11428571
PD Collingwood,29
SK Raina,28.96815287
BA Stokes,28.72727273
G Gambhir,28.30136986
S Dhawan,28.26190476
F du Plessis,28.15217391
RA Tripathi,27.92857143
Q de Kock,27.92307692
KP Pietersen,27.80555556
DJ Harris,27.75
SPD Smith,27.62903226
Salman Butt,27.57142857
RG Sharma,27.49673203
KS Williamson,27.4
JP Duminy,27.30136986
DR Smith,27.10227273
A Symonds,27.05555556
SR Watson,26.81632653
BB McCullum,26.74757282
R Dravid,26.51219512
RV Uthappa,26.41958042
V Sehwag,26.23076923
AC Gilchrist,25.8625
AC Voges,25.85714286
ST Jayasuriya,25.6
JH Kallis,25.54736842
GC Smith,25.48275862
M Vijay,25.36363636
KH Pandya,25.26315789
V Shankar,25.25
SS Iyer,25.21875
AJ Finch,25.0625
MS Dhoni,24.8951049
KC Sangakkara,24.80882353
HH Gibbs,24.61111111
DA Miller,24.421875
KL Rahul,24.16666667
RS Bopara,24.13636364
BJ Rohrer,24.125
SC Ganguly,24.08928571
RR Pant,23.5
MK Pandey,23.4
M Vohra,23.34146341
DPMD Jayawardene,23.17948718
MJ Lumb,23.16666667
KK Nair,23.16
TM Dilshan,23.06
AT Rayudu,23.00952381
OA Shah,23
SV Samson,23
AD Russell,22.96
SW Billings,22.6
GJ Maxwell,22.34545455
Yuvraj Singh,22.3362069
SA Asnodkar,22.26315789
BJ Hodge,22.22222222
S Badrinath,22.16923077
JC Buttler,22
YK Pathan,21.96992481
PC Valthaty,21.95652174
JR Hopes,21.94736842
SM Katich,21.90909091
AP Majumdar,21.75
DJ Hussey,21.67213115
KD Karthik,21.6641791
CL White,21.57777778
Kamran Akmal,21.33333333
Ishan Kishan,21.26666667
LJ Wright,21.2
UT Khawaja,21.16666667
KA Pollard,21.01785714
MK Tiwary,20.86075949
JD Ryder,20.82758621
A Flintoff,20.66666667
TM Head,20.5
MS Bisla,20.46153846
JEC Franklin,20.4375
MP Stoinis,20.375
Niraj Patel,20.16666667
CJ Anderson,20.03846154
PA Patel,20.01724138
WP Saha,19.96153846
SS Tiwary,19.9375
JJ Roy,19.66666667
SP Fleming,19.6
MC Henriques,19.38
YV Takawale,19.2
Mandeep Singh,19.17241379
DR Martyn,19
Y Gnaneswara Rao,19
EJG Morgan,18.97777778
Y Venugopal Rao,18.94230769
MJ Guptill,18.9
LA Pomersbach,18.875
LRPL Taylor,18.83333333
Azhar Mahmood,18.47619048
GJ Bailey,18.41666667
S Sohal,18.4
SM Pollock,18.375
K Rabada,18.33333333
M Klinger,18.25
RR Sarwan,18.25
S Vidyut,18.125
BJ Haddin,18
MC Juneja,17.85714286
CA Pujara,17.72727273
AJ Tye,17.66666667
AD Mathews,17.65853659
AL Menaria,17.43478261
TL Suman,17.33333333
AC Blizzard,17.14285714
MV Boucher,17.13043478
AP Dole,17
MA Agarwal,16.95833333
NV Ojha,16.69892473
FY Fazal,16.63636364
PA Reddy,16.4
MJ Clarke,16.33333333
W Jaffer,16.25
LA Carseldine,16.2
SN Khan,16.09090909
MR Marsh,16.07142857
RA Jadeja,16.03703704
D Wiese,15.875
Anirudh Singh,15.75
CH Morris,15.67857143
KM Jadhav,15.66666667
Shakib Al Hasan,15.625
BB Samantray,15.625
DJ Bravo,15.58024691
RN ten Doeschate,15.52380952
S Sriram,15.5
BCJ Cutting,15.5
SP Goswami,15.0625
UBT Chand,15
TR Birt,15
DB Ravi Teja,15
C Madan,15
GR Napier,15
DJG Sammy,14.75
RJ Quiney,14.71428571
Misbah-ul-Haq,14.625
J Botha,14.60714286
JA Morkel,14.55223881
VH Zol,14.5
SA Yadav,14.47619048
AA Jhunjhunwala,14.46666667
AR Patel,14.42857143
Gurkeerat Singh,14.25
Y Nagar,14.25
NLTC Perera,14.13333333
VVS Laxman,14.1
IK Pathan,14.02439024
DL Chahar,14
N Saini,14
C de Grandhomme,14
JDS Neesham,14
AB Barath,14
MD Mishra,13.94117647
RE Levi,13.83333333
DB Das,13.81818182
Sachin Baby,13.7
STR Binny,13.67857143
AB McDonald,13.66666667
K Goel,13.625
DT Christian,13.5483871
M Manhas,13.52631579
AM Nayar,13.44
GH Vihari,13.33333333
BR Dunk,13.33333333
LPC Silva,13.33333333
B Chipli,13.33333333
DJ Jacobs,13.14285714
SB Styris,13.1
NL McCullum,13
CM Gautam,13
JM Kemp,13
SP Jackson,12.66666667
MF Maharoof,12.64285714
AP Tare,12.55555556
DJ Hooda,12.43333333
SD Chitnis,12.375
HH Pandya,12.3030303
LR Shukla,12.27272727
CJ Ferguson,12.25
R McLaren,12.23076923
A Ashish Reddy,12.17391304
P Negi,12.17241379
AS Raut,12.125
AR Bawne,12
DAJ Bracewell,12
ER Dwivedi,12
CR Brathwaite,11.875
M Kaif,11.77272727
Yashpal Singh,11.75
JP Faulkner,11.71111111
R Tewatia,11.66666667
MN Samuels,11.5
NS Naik,11.5
S Rana,11.375
S Anirudha,11.33333333
R Sathish,11.25
D Salunkhe,11
Bipul Sharma,11
IR Jaggi,10.85714286
RE van der Merwe,10.6
RR Rossouw,10.6
P Dogra,10.58333333
Shoaib Malik,10.4
T Taibu,10.33333333
PR Shah,10.22222222
RT Ponting,10.11111111
DH Yagnik,10
D du Preez,10
KAJ Roach,10
C Munro,10
Kuldeep Yadav,10
X Thalaivan Sargunam,10
AB Agarkar,9.944444444
AA Bilakhia,9.857142857
AG Paunikar,9.8
Umar Gul,9.75
DJ Thornely,9.75
Harbhajan Singh,9.743902439
KK Cooper,9.666666667
JDP Oram,9.636363636
J Suchith,9.6
R Dhawan,9.5625
P Sahu,9.5
A Mukund,9.5
KV Sharma,9.323529412
S Narwal,9.25
SP Narine,9.033333333
DS Lehmann,9
AA Noffke,9
KW Richardson,9
Shahid Afridi,9
A Chopra,8.833333333
B Sumanth,8.75
MA Starc,8.727272727
Ankit Sharma,8.7
Sunny Singh,8.6
PJ Cummins,8.555555556
S Chanderpaul,8.333333333
A Choudhary,8.333333333
AS Yadav,8.166666667
M Kartik,8.071428571
Mohammad Hafeez,8
CJ McKay,8
MA Khote,8
PP Chawla,7.923076923
BMAJ Mendis,7.666666667
J Arunkumar,7.666666667
JO Holder,7.6
DL Vettori,7.5625
SA Abbott,7.5
RR Powar,7.444444444
R Vinay Kumar,7.414634146
WPUJC Vaas,7.363636364
SK Warne,7.333333333
MS Wade,7.333333333
R Rampaul,7.285714286
R Bhatia,7.276595745
Joginder Sharma,7.2
Sohail Tanvir,7.2
AD Mascarenhas,7.181818182
UA Birla,7
I Malhotra,7
CA Ingram,7
WA Mota,7
MDKJ Perera,7
SB Bangar,7
A Mishra,6.93877551
B Akhil,6.909090909
L Ronchi,6.8
Iqbal Abdulla,6.769230769
TG Southee,6.75
NJ Maddinson,6.666666667
Harpreet Singh,6.666666667
MS Gony,6.6
CR Woakes,6.571428571
B Lee,6.526315789
DT Patil,6.5
R Ashwin,6.416666667
RJ Peterson,6.4
KB Arun Karthik,6.375
Vishnu Vinod,6.333333333
R Bishnoi,6.333333333
M Morkel,6.3
PSP Handscomb,6
K Upadhyay,6
DM Bravo,6
JJ van der Wath,6
SS Shaikh,6
AN Ahmed,6
P Kumar,5.964912281
S Aravind,5.9
MG Johnson,5.807692308
J Syed Mohammad,5.8
A Mithun,5.666666667
DS Kulkarni,5.625
Basil Thampi,5.6
SB Jakati,5.6
MM Sharma,5.6
RJ Harris,5.571428571
AUK Pathan,5.571428571
RV Gomez,5.555555556
DNT Zoysa,5.5
M Ntini,5.5
GB Hogg,5.5
T Henderson,5.5
CK Kapugedera,5.333333333
WD Parnell,5.25
MJ McClenaghan,5.25
DE Bollinger,5.25
DW Steyn,5.1875
VR Aaron,5.111111111
AD Nath,5
KMDN Kulasekara,5
M Rawat,5
TA Boult,5
AC Thomas,5
TD Paine,5
B Kumar,4.787878788
R Shukla,4.75
NM Coulter-Nile,4.727272727
Anureet Singh,4.714285714
S Gopal,4.666666667
F Behardien,4.666666667
SW Tait,4.6
SM Harwood,4.5
Harmeet Singh,4.5
SL Malinga,4.4
Z Khan,4.333333333
KJ Abbott,4.333333333
Parvez Rasool,4.25
JJ Bumrah,4.166666667
UT Yadav,4.086956522
RR Raje,4
CK Langeveldt,4
AA Chavan,4
Swapnil Singh,4
RS Sodhi,4
HV Patel,3.916666667
KC Cariappa,3.75
Rashid Khan,3.666666667
T Kohli,3.666666667
Mohammed Shami,3.538461538
VS Malik,3.5
AN Ghosh,3.5
R Sharma,3.473684211
AG Murtaza,3.333333333
MM Patel,3.25
SB Joshi,3
R Ninan,3
S Tyagi,3
Imran Tahir,3
SK Trivedi,3
RD Chahar,3
AS Rajpoot,3
BA Bhatt,3
J Yadav,3
S Kaul,3
Karanveer Singh,3
PV Tambe,3
T Thushara,3
Younis Khan,3
Kamran Khan,3
VY Mahesh,3
D Kalyankrishna,3
S Sreesanth,2.833333333
L Balaji,2.769230769
TM Srivastava,2.666666667
TS Mills,2.666666667
I Sharma,2.647058824
S Badree,2.6
Shivam Sharma,2.5
A Zampa,2.5
SMSM Senanayake,2.5
J Theron,2.5
A Nehra,2.411764706
Sandeep Sharma,2.363636364
A Kumble,2.333333333
Ankit Soni,2.333333333
AF Milne,2.333333333
M Muralitharan,2.222222222
FH Edwards,2
A Uniyal,2
Shoaib Akhtar,2
VRV Singh,2
A Chandila,2
H Das,2
VS Yeligati,2
S Randiv,2
Mohammad Ashraful,2
GD McGrath,2
Jaskaran Singh,2
RG More,2
RS Gavaskar,2
Mohammad Nabi,2
CRD Fernando,2
DP Nannes,2
B Laughlin,2
Mashrafe Mortaza,2
PJ Sangwan,2
YS Chahal,1.875
RP Singh,1.857142857
Washington Sundar,1.8
SN Thakur,1.75
AB Dinda,1.625
S Nadeem,1.625
Mohammad Asif,1.5
JE Taylor,1.5
CJ Jordan,1.5
Pankaj Singh,1.4
BB Sran,1.333333333
SJ Srivastava,1.25
M de Lange,1
NJ Rimmington,1
DJ Muthuswami,1
LH Ferguson,1
P Awana,1
DP Vijaykumar,1
PM Sarvesh Kumar,1
JD Unadkat,1
SB Wagh,1
SE Bond,1
BAW Mendis,1
PP Ojha,0.842105263
KP Appanna,0.666666667
BE Hendricks,0.5
P Parameswaran,0.5
A Singh,0.4
Shoaib Ahmed,0.333333333
V Pratap Singh,0
S Ladda,0
L Ablish,0
M Ashwin,0
U Kaul,0
YA Abdulla,0
S Kaushik,0
Abdur Razzak,0
C Nanda,0
Sunny Gupta,0
ND Doshi,0
RR Bhatkal,0
IC Pandey,0
