bowler,over,wide_runs,WoPerOver,noball_runs,NoPerOver
A Ashish Reddy,4,8,2.0,2,0.5
A Choudhary,17,6,0.35294117647058826,1,0.058823529411764705
A Mishra,85,57,0.6705882352941176,20,0.23529411764705882
A Nehra,49,64,1.3061224489795917,9,0.1836734693877551
A Zampa,37,8,0.21621621621621623,0,0.0
AB Dinda,41,72,1.7560975609756098,14,0.34146341463414637
AD Mathews,5,24,4.8,1,0.2
AD Russell,37,35,0.9459459459459459,4,0.10810810810810811
AF Milne,18,11,0.6111111111111112,0,0.0
AJ Tye,21,22,1.0476190476190477,2,0.09523809523809523
AR Patel,96,37,0.3854166666666667,0,0.0
AS Rajpoot,25,21,0.84,8,0.32
Ankit Sharma,12,14,1.1666666666666667,1,0.08333333333333333
Ankit Soni,19,3,0.15789473684210525,0,0.0
Anureet Singh,8,16,2.0,6,0.75
Avesh Khan,4,3,0.75,1,0.25
B Kumar,119,110,0.9243697478991597,8,0.06722689075630252
B Stanlake,8,6,0.75,0,0.0
BA Stokes,44,27,0.6136363636363636,2,0.045454545454545456
BB Sran,52,32,0.6153846153846154,7,0.1346153846153846
BCJ Cutting,25,7,0.28,0,0.0
Basil Thampi,45,11,0.24444444444444444,1,0.022222222222222223
Bipul Sharma,31,15,0.4838709677419355,0,0.0
C Munro,2,0,0.0,0,0.0
C de Grandhomme,17,16,0.9411764705882353,2,0.11764705882352941
CH Gayle,10,46,4.6,3,0.3
CH Morris,75,50,0.6666666666666666,5,0.06666666666666667
CJ Anderson,19,21,1.105263157894737,0,0.0
CJ Jordan,29,17,0.5862068965517241,2,0.06896551724137931
CR Brathwaite,30,9,0.3,7,0.23333333333333334
CR Woakes,44,22,0.5,0,0.0
D Wiese,4,11,2.75,1,0.25
DJ Bravo,56,124,2.2142857142857144,6,0.10714285714285714
DJ Hooda,17,11,0.6470588235294118,0,0.0
DL Chahar,12,32,2.6666666666666665,5,0.4166666666666667
DR Smith,31,19,0.6129032258064516,4,0.12903225806451613
DS Kulkarni,68,99,1.4558823529411764,7,0.10294117647058823
DT Christian,40,33,0.825,3,0.075
DW Steyn,2,105,52.5,7,3.5
GB Hogg,16,17,1.0625,1,0.0625
GJ Maxwell,28,15,0.5357142857142857,0,0.0
Gurkeerat Singh,4,4,1.0,0,0.0
HH Pandya,43,42,0.9767441860465116,3,0.06976744186046512
HV Patel,18,38,2.111111111111111,2,0.1111111111111111
Harbhajan Singh,90,96,1.0666666666666667,3,0.03333333333333333
I Sharma,33,96,2.909090909090909,21,0.6363636363636364
IK Pathan,10,79,7.9,1,0.1
Imran Tahir,63,36,0.5714285714285714,1,0.015873015873015872
Iqbal Abdulla,30,26,0.8666666666666667,0,0.0
J Suchith,2,9,4.5,0,0.0
J Yadav,23,2,0.08695652173913043,2,0.08695652173913043
JA Morkel,5,85,17.0,18,3.6
JD Unadkat,49,34,0.6938775510204082,1,0.02040816326530612
JJ Bumrah,113,41,0.36283185840707965,23,0.20353982300884957
JO Holder,13,9,0.6923076923076923,3,0.23076923076923078
JP Duminy,7,32,4.571428571428571,0,0.0
JP Faulkner,45,50,1.1111111111111112,5,0.1111111111111111
JW Hastings,7,2,0.2857142857142857,1,0.14285714285714285
K Rabada,22,24,1.0909090909090908,2,0.09090909090909091
KA Pollard,8,75,9.375,7,0.875
KC Cariappa,32,6,0.1875,2,0.0625
KH Pandya,72,26,0.3611111111111111,1,0.013888888888888888
KJ Abbott,16,6,0.375,1,0.0625
KS Williamson,1,0,0.0,0,0.0
KV Sharma,48,13,0.2708333333333333,0,0.0
KW Richardson,14,13,0.9285714285714286,0,0.0
Kuldeep Yadav,53,23,0.4339622641509434,0,0.0
LH Ferguson,13,9,0.6923076923076923,0,0.0
M Ashwin,29,17,0.5862068965517241,1,0.034482758620689655
M Morkel,36,71,1.9722222222222223,13,0.3611111111111111
M Vijay,1,1,1.0,0,0.0
MC Henriques,77,31,0.4025974025974026,1,0.012987012987012988
MG Johnson,31,66,2.129032258064516,9,0.2903225806451613
MJ Henry,5,1,0.2,0,0.0
MJ McClenaghan,108,68,0.6296296296296297,9,0.08333333333333333
MM Patel,7,17,2.4285714285714284,11,1.5714285714285714
MM Sharma,97,35,0.36082474226804123,6,0.061855670103092786
MN Samuels,3,6,2.0,0,0.0
MP Stoinis,34,12,0.35294117647058826,0,0.0
MR Marsh,9,10,1.1111111111111112,2,0.2222222222222222
MS Gony,2,32,16.0,5,2.5
Mohammad Nabi,11,0,0.0,0,0.0
Mohammed Shami,52,57,1.0961538461538463,3,0.057692307692307696
Mohammed Siraj,23,37,1.608695652173913,2,0.08695652173913043
Mustafizur Rahman,64,11,0.171875,2,0.03125
N Rana,1,3,3.0,0,0.0
NB Singh,4,1,0.25,0,0.0
NLTC Perera,34,15,0.4411764705882353,3,0.08823529411764706
NM Coulter-Nile,44,16,0.36363636363636365,7,0.1590909090909091
P Kumar,70,144,2.057142857142857,1,0.014285714285714285
P Negi,42,17,0.40476190476190477,0,0.0
P Sahu,18,2,0.1111111111111111,0,0.0
PJ Cummins,47,21,0.44680851063829785,1,0.02127659574468085
PJ Sangwan,22,50,2.272727272727273,6,0.2727272727272727
PP Chawla,57,63,1.105263157894737,1,0.017543859649122806
PV Tambe,16,19,1.1875,0,0.0
Parvez Rasool,14,3,0.21428571428571427,0,0.0
R Ashwin,44,111,2.522727272727273,2,0.045454545454545456
R Bhatia,41,32,0.7804878048780488,2,0.04878048780487805
R Dhawan,7,31,4.428571428571429,3,0.42857142857142855
R Sathish,6,5,0.8333333333333334,0,0.0
R Tewatia,9,5,0.5555555555555556,0,0.0
R Vinay Kumar,12,50,4.166666666666667,11,0.9166666666666666
RA Jadeja,79,57,0.7215189873417721,2,0.02531645569620253
RA Tripathi,1,0,0.0,0,0.0
RD Chahar,7,9,1.2857142857142858,0,0.0
RP Singh,13,89,6.846153846153846,13,1.0
Rashid Khan,54,15,0.2777777777777778,0,0.0
S Aravind,61,31,0.5081967213114754,1,0.01639344262295082
S Badree,25,10,0.4,0,0.0
S Gopal,3,3,1.0,1,0.3333333333333333
S Kaul,36,26,0.7222222222222222,4,0.1111111111111111
S Kaushik,34,5,0.14705882352941177,1,0.029411764705882353
S Ladda,2,2,1.0,1,0.5
S Nadeem,33,25,0.7575757575757576,1,0.030303030303030304
SB Jakati,25,27,1.08,2,0.08
SK Raina,22,22,1.0,0,0.0
SL Malinga,45,152,3.3777777777777778,20,0.4444444444444444
SM Boland,7,1,0.14285714285714285,0,0.0
SN Thakur,39,41,1.0512820512820513,0,0.0
SP Narine,102,57,0.5588235294117647,2,0.0196078431372549
SR Watson,84,98,1.1666666666666667,13,0.15476190476190477
SS Agarwal,4,0,0.0,0,0.0
STR Binny,23,16,0.6956521739130435,1,0.043478260869565216
Sachin Baby,2,0,0.0,0,0.0
Sandeep Sharma,98,50,0.5102040816326531,7,0.07142857142857142
Shakib Al Hasan,34,35,1.0294117647058822,0,0.0
Swapnil Singh,10,1,0.1,0,0.0
T Natarajan,13,6,0.46153846153846156,0,0.0
T Shamsi,16,0,0.0,0,0.0
TA Boult,28,39,1.3928571428571428,1,0.03571428571428571
TG Southee,53,45,0.8490566037735849,3,0.05660377358490566
TM Head,9,0,0.0,0,0.0
TS Mills,18,9,0.5,0,0.0
Tejas Baroka,4,0,0.0,0,0.0
UT Yadav,75,110,1.4666666666666666,19,0.25333333333333335
V Kohli,1,8,8.0,6,6.0
VR Aaron,44,64,1.4545454545454546,6,0.13636363636363635
Washington Sundar,30,8,0.26666666666666666,0,0.0
YK Pathan,10,43,4.3,0,0.0
YS Chahal,94,60,0.6382978723404256,6,0.06382978723404255
Yuvraj Singh,9,12,1.3333333333333333,1,0.1111111111111111
Z Khan,86,89,1.0348837209302326,2,0.023255813953488372
