batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values
H Klaasen,11.3333333333333,5,1,0,0,58,68,117.241379310344,1,0.18258432017879545
S Anirudha,11.3333333333333,11,7,1,0,121,136,112.396694214876,1,0.1825801465133283
J Archer,7.72727272727272,6,4,0,0,62,85,137.096774193548,0,0.18201129058777032
Washington Sundar,6.58333333333333,5,4,0,0,56,79,141.071428571428,1,0.18193212354207222
AUK Pathan,5.57142857142857,5,2,0,0,26,39,150.0,0,0.1817730961542003
TG Southee,8.84615384615384,8,4,0,0,91,115,126.373626373626,1,0.18057613475494963
Anirudh Singh,15.75,6,1,0,0,69,63,91.3043478260869,1,0.18034261375762003
Shivam Sharma,2.5,1,0,0,0,3,5,166.666666666666,0,0.18026465889654147
SD Chitnis,12.375,10,1,0,0,92,99,107.608695652173,1,0.17995698223762732
RE van der Merwe,10.6,13,8,0,0,144,159,110.416666666666,2,0.17902773345616388
KV Sharma,9.3235294117647,18,14,0,0,285,317,111.228070175438,2,0.17870423646500289
S Narwal,9.25,6,0,0,0,29,37,127.586206896551,0,0.17866317636105053
M Kaif,11.7727272727272,23,6,0,0,258,259,100.387596899224,2,0.1785969960142767
AB Barath,14.0,5,1,0,0,43,42,97.6744186046511,1,0.176712645911232
P Chopra,8.0,2,0,0,0,6,8,133.333333333333,0,0.17652290411258595
S Dube,10.0,1,3,0,0,33,40,121.212121212121,0,0.17635958433415694
AJ Tye,7.83333333333333,6,4,0,0,72,94,130.555555555555,0,0.1762497648044171
K Goel,13.625,17,9,0,0,239,218,91.2133891213389,1,0.17598307137470937
T Taibu,10.3333333333333,3,0,0,0,26,31,119.230769230769,0,0.1755447772380887
PP Chawla,7.82666666666666,54,18,0,0,541,587,108.502772643253,0,0.17552806687188147
SB Styris,13.1,11,3,0,0,134,131,97.7611940298507,1,0.17537836905013185
S Rana,11.375,9,1,0,0,82,91,110.975609756097,0,0.17530784958629542
DR Martyn,19.0,1,0,0,0,26,19,73.076923076923,0,0.1751828417055237
GH Vihari,13.3333333333333,23,1,0,0,323,280,86.687306501548,3,0.1751015867657305
Harmeet Singh,4.5,3,0,0,0,12,18,150.0,0,0.17484729658305123
M Morkel,6.3,10,5,0,0,93,126,135.483870967741,0,0.17447587130057082
JM Kemp,13.0,1,1,0,0,25,26,104.0,0,0.174411623788024
AB Agarkar,9.94444444444444,13,5,0,0,160,179,111.875,1,0.1743918098534473
GR Napier,15.0,1,0,0,0,16,15,93.75,0,0.17436728072291066
B Akhil,6.9090909090909,5,5,0,0,57,76,133.333333333333,0,0.17377898585501073
MS Gony,6.6,6,8,0,0,76,99,130.263157894736,1,0.1727494030367798
N Saini,11.9166666666666,16,0,0,0,147,143,97.2789115646258,2,0.1712052402949536
R Bhatia,7.27659574468085,24,13,0,0,290,342,117.931034482758,0,0.17089896296938148
R Dhawan,9.5625,14,4,0,0,135,153,113.333333333333,0,0.17078380326748233
A Choudhary,8.33333333333333,1,1,0,0,20,25,125.0,0,0.17044069324014632
R Ashwin,7.64,32,10,0,0,350,382,109.142857142857,2,0.17018397171813782
R Singh,10.4285714285714,5,2,0,0,68,73,107.35294117647,1,0.1682351906546003
DJ Jacobs,13.1428571428571,10,4,0,0,101,92,91.0891089108911,1,0.16815189103166817
JDS Neesham,14.0,3,1,0,0,46,42,91.3043478260869,0,0.16773561070124185
M Lomror,9.33333333333333,3,0,0,0,24,28,116.666666666666,0,0.16757408519451228
AN Ahmed,6.0,4,1,0,0,27,36,133.333333333333,0,0.16697065322851343
R McLaren,12.2307692307692,14,1,1,0,178,159,89.3258426966292,2,0.16636281259381627
K Upadhyay,6.0,0,1,0,0,9,12,133.333333333333,0,0.1658763711896464
S Sriram,15.5,3,0,0,0,38,31,81.578947368421,0,0.1655496776013467
MN Samuels,11.5,9,7,0,0,174,161,92.5287356321839,2,0.16532679083893315
J Suchith,9.0,4,2,0,0,48,54,112.5,1,0.16516455268311975
KAJ Roach,10.0,1,0,0,0,9,10,111.111111111111,0,0.1648937227179424
AR Bawne,12.0,1,0,0,0,12,12,100.0,0,0.16451742937202793
S Gopal,9.35714285714285,14,1,0,0,120,131,109.166666666666,0,0.1643452683453883
Shoaib Malik,10.4,5,0,0,0,49,52,106.122448979591,0,0.1635718555258433
RR Rossouw,10.6,3,3,0,0,51,53,103.921568627451,0,0.1628824589684483
A Mithun,5.66666666666666,4,1,0,0,26,34,130.76923076923,0,0.1625843679899962
B Lee,6.52631578947368,8,8,0,0,102,124,121.56862745098,0,0.16219073358385008
JO Holder,7.6,4,2,0,0,32,38,118.75,0,0.16122780596593175
Joginder Sharma,7.2,1,2,0,0,30,36,120.0,0,0.1598694165287135
R Vinay Kumar,7.4047619047619,21,9,0,0,289,311,107.612456747404,0,0.15933279295031705
SA Abbott,7.5,1,1,0,0,13,15,115.384615384615,0,0.1561564610166088
Sohail Tanvir,7.2,3,1,0,0,31,36,116.129032258064,0,0.15605383400117964
J Searles,4.0,0,1,0,0,6,8,133.333333333333,0,0.15510474812448666
Avesh Khan,4.0,1,0,0,0,3,4,133.333333333333,0,0.15492574342604737
JDP Oram,9.63636363636363,6,5,0,0,110,106,96.3636363636363,1,0.15466135370149106
P Kumar,5.96491228070175,22,17,0,0,323,340,105.263157894736,1,0.15432998004765597
P Dogra,10.5833333333333,4,5,0,0,141,127,90.0709219858156,1,0.15367740831519736
MJ McClenaghan,4.55,6,7,0,0,73,91,124.657534246575,0,0.15346087011411788
PR Shah,10.2222222222222,9,2,0,0,97,92,94.8453608247422,0,0.15334218051727633
MA Khote,8.0,2,1,0,0,22,24,109.090909090909,0,0.15288385102571353
WPUJC Vaas,7.36363636363636,2,2,0,0,73,81,110.958904109589,0,0.1528766182336602
C Madan,15.0,4,0,0,0,21,15,71.4285714285714,0,0.15249493593345764
DM Bravo,6.0,1,0,0,0,5,6,120.0,0,0.15232247726408668
DNT Zoysa,5.5,1,0,0,0,9,11,122.222222222222,0,0.15198477494057344
R Salam,5.0,0,0,0,0,4,5,125.0,0,0.1518156667407824
CJ Ferguson,12.25,9,0,0,0,119,98,82.3529411764705,0,0.15143099757252346
M Kartik,8.07142857142857,7,1,0,0,109,113,103.669724770642,0,0.15060425178617015
MA Starc,8.72727272727272,12,0,0,0,98,96,97.9591836734693,0,0.1485080155441171
DL Vettori,7.5625,12,2,0,0,118,121,102.542372881355,0,0.1478900448527676
RR Powar,7.44444444444444,6,1,0,0,64,67,104.6875,0,0.1470706772740587
R Bishnoi,6.33333333333333,1,2,0,0,17,19,111.764705882352,0,0.14662989001203375
MDKJ Perera,7.0,3,0,0,0,13,14,107.692307692307,0,0.14582544512395695
A Mishra,6.81481481481481,30,5,0,0,410,368,89.7560975609756,2,0.14496841999828788
Iqbal Abdulla,6.76923076923076,9,1,0,0,86,88,102.325581395348,1,0.14435580987547733
VRV Singh,2.0,1,0,0,0,3,4,133.333333333333,0,0.14424198274228667
AD Nath,9.1,7,2,0,0,99,91,91.9191919191919,0,0.14412877944604655
CRD Fernando,2.0,0,0,0,0,3,4,133.333333333333,0,0.1441002058046685
DS Lehmann,9.0,3,0,0,0,19,18,94.7368421052631,0,0.14365585438354547
K Rabada,10.0,5,2,0,0,83,70,84.3373493975903,1,0.1429462725437621
KW Richardson,9.0,2,1,0,0,39,36,92.3076923076922,0,0.1417441064791681
AD Mascarenhas,7.18181818181818,5,1,0,0,79,79,100.0,0,0.14113057297399845
KC Cariappa,4.8,0,2,0,0,21,24,114.285714285714,0,0.14092925391209932
B Sumanth,8.75,3,0,0,0,38,35,92.1052631578947,0,0.1400919116830545
SK Warne,7.33333333333333,14,6,0,0,219,198,90.4109589041095,1,0.13998415722020338
J Syed Mohammad,5.8,4,0,0,0,27,29,107.407407407407,0,0.13961461342968184
R Rampaul,7.28571428571428,3,2,0,0,52,51,98.076923076923,0,0.13906832175260522
MG Johnson,6.0,10,7,0,0,168,168,100.0,0,0.13898448057562665
JJ van der Wath,6.0,1,1,0,0,17,18,105.882352941176,0,0.13871558838559098
RJ Harris,5.57142857142857,6,3,0,0,112,117,104.464285714285,0,0.13845603582820998
J Arunkumar,7.66666666666666,5,0,0,0,24,23,95.8333333333333,0,0.13802915858337395
DW Steyn,5.1875,16,3,0,0,161,166,103.105590062111,0,0.13759871801030246
IR Jaggi,10.8571428571428,7,0,0,0,100,76,76.0,0,0.1368589067480847
RJ Peterson,6.4,3,1,0,0,32,32,100.0,0,0.1355824374635092
DT Patil,6.5,1,0,0,0,13,13,100.0,0,0.1351602407354919
AG Paunikar,9.8,9,0,0,0,61,49,80.327868852459,0,0.13514105412000163
MM Sharma,4.96,9,4,0,0,120,124,103.333333333333,0,0.13488397854905756
Yashpal Singh,11.75,5,0,0,0,67,47,70.1492537313433,0,0.13480369617806218
A Mukund,9.5,1,0,0,0,23,19,82.6086956521739,0,0.13395249925143868
S Aravind,5.9,7,0,0,0,59,59,100.0,0,0.13387082337114053
AA Bilakhia,9.85714285714285,5,0,0,0,88,69,78.4090909090909,0,0.13345673776429734
RR Raje,4.0,1,1,0,0,18,20,111.111111111111,0,0.13330214176555275
F Behardien,4.66666666666666,2,0,0,0,13,14,107.692307692307,0,0.1332192807219513
AC Thomas,5.0,1,1,0,0,19,20,105.263157894736,0,0.13280081948488232
KB Arun Karthik,6.375,6,1,0,0,53,51,96.2264150943396,0,0.13255004918211535
RD Chahar,3.0,2,0,0,0,13,15,115.384615384615,0,0.13202685716110701
NJ Maddinson,6.66666666666666,4,0,0,0,21,20,95.2380952380952,0,0.13188080347721987
NS Naik,11.5,1,0,0,0,33,23,69.6969696969697,0,0.13184565051816383
AA Chavan,4.0,2,0,0,0,11,12,109.090909090909,0,0.1310103220716881
D du Preez,10.0,0,0,0,0,13,10,76.9230769230769,0,0.13058291396758703
L Ronchi,6.8,6,1,0,0,37,34,91.8918918918919,0,0.130096970574092
GB Hogg,5.5,1,0,0,0,22,22,100.0,0,0.13002673958786398
DJ Thornely,9.75,5,2,0,0,54,39,72.2222222222222,1,0.12878742591259176
B Kumar,4.63414634146341,17,3,0,0,197,190,96.4467005076142,0,0.12873834134001014
CR Woakes,5.72727272727272,5,2,0,0,66,63,95.4545454545454,0,0.12869182979377394
JD Unadkat,4.58333333333333,6,1,0,0,54,55,101.851851851851,0,0.1286829781875084
RT Ponting,10.1111111111111,7,2,0,0,129,91,70.5426356589147,0,0.12829597556839736
M Markande,4.42857142857142,3,0,0,0,30,31,103.333333333333,0,0.1281238121734182
BMAJ Mendis,7.66666666666666,0,0,0,0,27,23,85.1851851851851,0,0.1266863775286077
RV Gomez,5.55555555555555,5,1,0,0,53,50,94.3396226415094,0,0.12612570297264455
NM Coulter-Nile,4.72727272727272,3,4,0,0,53,52,98.1132075471698,0,0.1259267093090859
M Ur Rahman,3.0,2,0,0,0,11,12,109.090909090909,0,0.12566844172980776
SB Jakati,5.6,3,0,0,0,30,28,93.3333333333333,0,0.12432623548110498
SB Bangar,7.0,1,3,0,0,58,49,84.4827586206896,0,0.12388896941252457
AA Noffke,9.0,1,0,0,0,12,9,75.0,0,0.1234365803964421
D Shorey,8.0,0,1,0,0,20,16,80.0,0,0.12335266567206701
DS Kulkarni,5.31578947368421,7,2,0,0,111,101,90.990990990991,0,0.12322681232348935
Mohammad Hafeez,8.0,7,2,0,0,84,64,76.1904761904761,0,0.12195586488439579
UT Yadav,3.84848484848484,12,4,0,0,133,127,95.4887218045112,0,0.121644082565169
S Chanderpaul,8.33333333333333,4,0,0,0,33,25,75.7575757575757,0,0.12145243827563301
Mohammed Siraj,5.66666666666666,2,1,0,0,38,34,89.4736842105263,0,0.12106227468194695
Mohammed Shami,3.375,5,2,0,0,54,54,100.0,0,0.12044909392294402
DE Bollinger,5.25,1,1,0,0,23,21,91.3043478260869,0,0.12021488452698179
A Chopra,8.83333333333333,7,0,0,0,75,53,70.6666666666666,0,0.12017259930862084
CA Ingram,7.0,3,0,0,0,26,21,80.7692307692307,0,0.11909294447046677
VS Malik,3.5,1,0,0,0,7,7,100.0,0,0.1189956802470159
T Curran,6.0,3,0,0,0,28,24,85.7142857142857,0,0.11876082821123468
SS Shaikh,6.0,1,0,0,0,7,6,85.7142857142857,0,0.11804626416602085
Kuldeep Yadav,5.75,4,0,0,0,55,46,83.6363636363636,0,0.11602233731830995
JJ Bumrah,3.7,2,1,0,0,39,37,94.8717948717948,0,0.11601464588128653
MM Patel,3.25,5,0,0,0,41,39,95.1219512195122,0,0.11409967412096547
SW Tait,4.6,1,1,0,0,26,23,88.4615384615384,0,0.11395091002164694
SL Malinga,4.4,6,5,0,0,103,88,85.4368932038834,0,0.11306041837560954
Harpreet Singh,6.66666666666666,0,0,0,0,26,20,76.9230769230769,0,0.11302243038085014
WA Mota,7.0,3,0,0,0,76,56,73.6842105263157,0,0.11288954666811908
X Thalaivan Sargunam,10.0,0,0,0,0,17,10,58.8235294117647,0,0.11250236883157175
Basil Thampi,4.57142857142857,1,1,0,0,37,32,86.4864864864865,0,0.11204111327587078
Z Khan,4.33333333333333,11,2,0,0,141,117,82.9787234042553,0,0.11097044955875864
RG More,2.0,0,0,0,0,2,2,100.0,0,0.11072531657754811
VS Yeligati,2.0,0,0,0,0,2,2,100.0,0,0.11072531657754811
Mashrafe Mortaza,2.0,0,0,0,0,2,2,100.0,0,0.11072531657754811
CK Langeveldt,4.0,0,1,0,0,9,8,88.8888888888889,0,0.11067455546151526
S Mavi,4.33333333333333,1,0,0,0,15,13,86.6666666666666,0,0.11026233451573285
WD Parnell,5.25,5,1,0,0,80,63,78.75,0,0.10927133959857557
K Paul,4.4,1,1,0,0,26,22,84.6153846153846,0,0.10901797745713548
R Shukla,4.75,2,0,0,0,23,19,82.6086956521739,0,0.1087203445651252
Parvez Rasool,4.25,1,0,0,0,20,17,85.0,0,0.10824787472295709
Vishnu Vinod,6.33333333333333,1,1,0,0,26,19,73.076923076923,0,0.1077519432963644
M Rawat,5.0,4,1,0,0,70,55,78.5714285714285,0,0.10742079400882078
I Sharma,3.05555555555555,4,2,0,0,62,55,88.7096774193548,0,0.10736696780715536
R Sharma,3.47368421052631,5,3,0,0,77,66,85.7142857142857,0,0.10725355359388898
SJ Srivastava,1.25,0,0,0,0,5,5,100.0,0,0.10678836605255533
AN Ghosh,3.5,1,0,0,0,8,7,87.5,0,0.10650043084084013
MS Wade,7.33333333333333,0,0,0,0,33,22,66.6666666666666,0,0.10639733314242619
VR Aaron,4.9,2,2,0,0,63,49,77.7777777777778,0,0.10589865050374495
NJ Rimmington,1.0,0,0,0,0,1,1,100.0,0,0.10536028299186194
DP Vijaykumar,1.0,0,0,0,0,1,1,100.0,0,0.10536028299186194
LH Ferguson,1.0,0,0,0,0,1,1,100.0,0,0.10536028299186194
Anureet Singh,4.625,2,1,0,0,47,37,78.7234042553191,0,0.10484549933164394
TA Boult,3.0,0,1,0,0,14,12,85.7142857142857,0,0.10225543551407924
BA Bhatt,3.0,0,1,0,0,7,6,85.7142857142857,0,0.10211176545742007
A Dananjaya,4.0,0,0,0,0,5,4,80.0,0,0.10146013434274467
T Henderson,5.5,0,1,0,0,16,11,68.75,0,0.09863694919216127
H Viljoen,2.0,1,0,0,0,7,6,85.7142857142857,0,0.09667874279849949
CJ McKay,8.0,0,0,0,0,15,8,53.3333333333333,0,0.096282105581768
CK Kapugedera,5.33333333333333,0,0,0,0,24,16,66.6666666666666,0,0.09556040121435788
S Tyagi,3.0,0,0,0,0,4,3,75.0,0,0.0910951007570585
GD McGrath,2.0,1,0,0,0,5,4,80.0,0,0.09091815059660213
FH Edwards,2.0,0,0,0,0,5,4,80.0,0,0.09077637365898399
J Theron,2.5,1,0,0,0,13,10,76.9230769230769,0,0.09066058834110262
Ankit Soni,2.33333333333333,0,1,0,0,9,7,77.7777777777778,0,0.09064190779728866
Imran Tahir,2.85714285714285,3,0,0,0,27,20,74.074074074074,0,0.09025348858850554
N Naik,8.0,1,0,0,0,17,8,47.0588235294117,0,0.090158873903113
AG Murtaza,3.33333333333333,1,0,0,0,14,10,71.4285714285714,0,0.08962240039198827
SM Harwood,4.5,0,0,0,0,14,9,64.2857142857142,0,0.08855155739372508
L Balaji,2.76923076923076,2,1,0,0,50,36,72.0,0,0.08820464703490334
M Ntini,5.5,2,0,0,0,19,11,57.8947368421052,0,0.08784657243631705
TS Mills,2.66666666666666,0,1,0,0,11,8,72.7272727272727,0,0.08739993336504036
BB Sran,1.57142857142857,0,0,0,0,14,11,78.5714285714285,0,0.08722999883532442
TM Srivastava,2.66666666666666,0,0,0,0,11,8,72.7272727272727,0,0.08716701411038197
Karanveer Singh,3.0,1,0,0,0,17,12,70.5882352941176,0,0.08705249455834357
SK Trivedi,3.0,3,1,0,0,61,42,68.8524590163934,0,0.08659429703822802
A Kumble,2.33333333333333,4,0,0,0,49,35,71.4285714285714,0,0.08533218789635029
UA Birla,7.0,1,0,0,0,15,7,46.6666666666666,0,0.08439693286085752
Jaskaran Singh,2.0,0,0,0,0,11,8,72.7272727272727,0,0.08360576054912845
JE Taylor,1.5,0,0,0,0,4,3,75.0,0,0.08308228024423799
I Sodhi,5.0,0,1,0,0,18,10,55.5555555555555,0,0.08276266311444345
PSP Handscomb,6.0,0,0,0,0,12,6,50.0,0,0.08221395448323815
Swapnil Singh,4.0,0,0,0,0,20,12,60.0,0,0.08167861444996086
A Nehra,2.41176470588235,3,1,0,0,63,41,65.079365079365,0,0.0796700190848192
T Thushara,3.0,0,0,0,0,19,12,63.157894736842,0,0.07948987825109831
M Muralitharan,2.22222222222222,1,0,0,0,30,20,66.6666666666666,0,0.07918510902899782
RP Singh,1.85714285714285,2,1,0,0,78,52,66.6666666666666,0,0.07842650824070478
AS Rajpoot,3.6,2,0,0,0,31,18,58.0645161290322,0,0.07805260474943332
S Sreesanth,2.83333333333333,7,0,0,0,57,34,59.6491228070175,0,0.07666861235920323
A Zampa,2.5,1,0,0,0,8,5,62.5,0,0.07612174519899657
Kamran Khan,3.0,0,0,0,0,5,3,60.0,0,0.07609985135088274
M Wood,3.0,0,0,0,0,5,3,60.0,0,0.07609985135088274
Sandeep Sharma,1.85714285714285,1,0,0,0,40,26,65.0,0,0.07572615391691946
T Kohli,3.66666666666666,0,1,0,0,20,11,55.0,0,0.07511250427401084
SMSM Senanayake,2.5,0,0,0,0,17,10,58.8235294117647,0,0.07243826626746919
SB Wagh,1.0,0,0,0,0,3,2,66.6666666666666,0,0.07205485349615859
PJ Sangwan,1.92307692307692,1,0,0,0,41,25,60.9756097560975,0,0.07204032350753303
AF Milne,2.33333333333333,0,0,0,0,12,7,58.3333333333333,0,0.07097879587965844
VY Mahesh,3.0,0,0,0,0,28,15,53.5714285714285,0,0.07000137538004764
CJ Jordan,1.5,0,0,0,0,5,3,60.0,0,0.06808703083806222
A Chandila,2.0,0,0,0,0,7,4,57.1428571428571,0,0.06792873198948955
A Uniyal,2.0,0,0,0,0,7,4,57.1428571428571,0,0.06792873198948955
S Badree,2.6,0,0,0,0,25,13,52.0,0,0.06624213759043114
J Yadav,3.0,0,0,0,0,12,6,50.0,0,0.06618831345759713
R Ninan,3.0,0,0,0,0,6,3,50.0,0,0.06610460194470696
R Bhui,4.0,0,0,0,0,18,8,44.4444444444444,0,0.06603994710683042
Pankaj Singh,1.4,0,0,0,0,12,7,58.3333333333333,0,0.06599304089390347
PV Tambe,3.0,1,0,0,0,39,18,46.1538461538461,0,0.06283303438209469
AB Dinda,1.625,2,0,0,0,50,26,52.0,0,0.061675357427700556
TD Paine,5.0,0,0,0,0,29,10,34.4827586206896,0,0.06150920345698567
H Vihari,2.0,0,0,0,0,8,4,50.0,0,0.06079062544045667
S Randiv,2.0,0,0,0,0,4,2,50.0,0,0.06073481776519657
Younis Khan,3.0,0,0,0,0,7,3,42.8571428571428,0,0.05896649539567398
Mohammad Asif,1.5,0,0,0,0,6,3,50.0,0,0.058091781431886445
BAW Mendis,1.0,0,0,0,0,6,3,50.0,0,0.05542084126094628
PM Sarvesh Kumar,1.0,0,0,0,0,2,1,50.0,0,0.055365033585686174
SE Bond,1.0,0,0,0,0,2,1,50.0,0,0.055365033585686174
M de Lange,1.0,0,0,0,0,2,1,50.0,0,0.055365033585686174
YS Chahal,1.83333333333333,0,0,0,0,49,22,44.8979591836734,0,0.05532429328027877
M Ashwin,0.8,0,0,0,0,8,4,50.0,0,0.054380369030200264
SB Joshi,3.0,0,0,0,0,16,6,37.5,0,0.05370731583289403
D Kalyankrishna,3.0,0,0,0,0,8,3,37.5,0,0.05361410313235541
KP Appanna,0.666666666666666,0,0,0,0,4,2,50.0,0,0.05361231064268944
S Kaul,1.71428571428571,0,0,0,0,28,12,42.8571428571428,0,0.052363749847685256
S Nadeem,1.88235294117647,1,0,0,0,79,32,40.506329113924,0,0.051662841342194274
H Das,2.0,0,0,0,0,5,2,40.0,0,0.0507395683590208
B Laughlin,1.25,0,0,0,0,13,5,38.4615384615384,0,0.04528790926468755
A Turner,1.0,0,0,0,0,11,4,36.3636363636363,0,0.04182663324368532
DP Nannes,2.0,0,0,0,0,13,4,30.7692307692307,0,0.0415836091788085
P Awana,1.0,0,0,0,0,14,5,35.7142857142857,0,0.04120993702578899
PP Ojha,0.842105263157894,0,0,0,0,45,16,35.5555555555555,0,0.040557449634584214
Mustafizur Rahman,1.0,0,0,0,0,3,1,33.3333333333333,0,0.03870311751284369
DJ Muthuswami,1.0,0,0,0,0,3,1,33.3333333333333,0,0.03870311751284369
P Parameswaran,0.5,0,0,0,0,3,1,33.3333333333333,0,0.03603217734190352
BE Hendricks,0.5,0,0,0,0,3,1,33.3333333333333,0,0.03603217734190352
L Plunkett,0.5,0,0,0,0,3,1,33.3333333333333,0,0.03603217734190352
Shoaib Akhtar,2.0,0,0,0,0,8,2,25.0,0,0.03575382014049348
RS Gavaskar,2.0,0,0,0,0,8,2,25.0,0,0.03575382014049348
Mohammad Ashraful,2.0,0,0,0,0,12,2,16.6666666666666,0,0.027439489182456988
H Gurney,1.0,0,0,0,0,5,1,20.0,0,0.025379285367158853
A Singh,0.4,0,0,0,0,10,2,20.0,0,0.022216312781133382
Shoaib Ahmed,0.333333333333333,0,0,0,0,6,1,16.6666666666666,0,0.018489449066396116
P Krishna,0.5,0,0,0,0,7,1,14.2857142857142,0,0.017003560669581336
ND Doshi,0.0,0,0,0,0,13,0,0.0,0,5.7007125890736344e-05
S Ladda,0.0,0,0,0,0,10,0,0.0,0,4.2755344418052265e-05
RR Bhatkal,0.0,0,0,0,0,2,0,0.0,0,4.750593824228028e-06
L Ablish,0.0,0,0,0,0,2,0,0.0,0,4.750593824228028e-06
Abdur Razzak,0.0,0,0,0,0,2,0,0.0,0,4.750593824228028e-06
IC Pandey,0.0,0,0,0,0,2,0,0.0,0,4.750593824228028e-06
S Kaushik,0.0,0,0,0,0,1,0,0.0,0,0.0
K Ahmed,0.0,0,0,0,0,1,0,0.0,0,0.0
S Lamichhane,0.0,0,0,0,0,1,0,0.0,0,0.0
YA Abdulla,0.0,0,0,0,0,1,0,0.0,0,0.0
U Kaul,0.0,0,0,0,0,1,0,0.0,0,0.0
V Pratap Singh,0.0,0,0,0,0,1,0,0.0,0,0.0
Sunny Gupta,0.0,0,0,0,0,1,0,0.0,0,0.0
P Raj,0.0,0,0,0,0,1,0,0.0,0,0.0
C Nanda,0.0,0,0,0,0,1,0,0.0,0,0.0
J Denly,0.0,0,0,0,0,1,0,0.0,0,0.0
